date,product_name,category,quantity,unit_price,unit_cost,total_price,total_cost,employee,hour,day_of_week,profit,date_only
2025-06-14 21:31:23.631570,Gordons,Gin,3,4607,3270.044413488771,13821,9810.133240466314,John Kamau,21,5,4010.8667595336865,2025-06-14
2025-06-14 21:31:23.631570,Johnnie Walker Black,Whisky,1,4972,3315.7020670782085,4972,3315.7020670782085,Grace Muthoni,21,5,1656.2979329217915,2025-06-14
2025-06-14 21:31:23.631570,Four Cousins,Wine,1,2038,1487.5900477633977,2038,1487.5900477633977,Peter Omondi,21,5,550.4099522366023,2025-06-14
2025-06-14 21:31:23.631570,Chivas Regal,Whisky,1,4371,3049.3550272889156,4371,3049.3550272889156,John Kamau,21,5,1321.6449727110844,2025-06-14
2025-06-14 21:31:23.631570,Tanqueray,Gin,3,4480,3247.4014546178832,13440,9742.204363853649,John Kamau,21,5,3697.795636146351,2025-06-14
2025-06-14 21:31:23.631570,Corona,Beer,1,187,140.03153423811864,187,140.03153423811864,Sarah Njeri,21,5,46.96846576188136,2025-06-14
2025-06-14 21:31:23.631570,Jameson,Whisky,1,2384,1618.0528999516882,2384,1618.0528999516882,Jane Wanjiru,21,5,765.9471000483118,2025-06-14
2025-06-14 21:31:23.631570,Jack Daniels,Whisky,1,6043,4101.481990791217,6043,4101.481990791217,Peter Omondi,21,5,1941.518009208783,2025-06-14
2025-06-14 21:31:23.631570,Four Cousins,Wine,1,3358,2161.953259467189,3358,2161.953259467189,Jane Wanjiru,21,5,1196.0467405328109,2025-06-14
2025-06-14 21:31:23.631570,Heineken,Beer,1,357,219.05197456923253,357,219.05197456923253,Peter Omondi,21,5,137.94802543076747,2025-06-14
2025-06-14 21:31:23.631570,Bombay Sapphire,Gin,1,4105,2779.639855453181,4105,2779.639855453181,Sarah Njeri,21,5,1325.360144546819,2025-06-14
2025-06-14 21:31:23.631570,Four Cousins,Wine,1,2328,1608.954662283982,2328,1608.954662283982,Michael Otieno,21,5,719.0453377160179,2025-06-14
2025-06-14 21:31:23.631570,Corona,Beer,1,170,102.3382565095766,170,102.3382565095766,Grace Muthoni,21,5,67.6617434904234,2025-06-14
2025-06-14 21:31:23.631570,Hennessy VS,Cognac,3,11292,8144.463428239662,33876,24433.390284718986,Jane Wanjiru,21,5,9442.609715281014,2025-06-14
2025-06-14 21:31:23.631570,Beefeater,Gin,1,3924,2490.304105761197,3924,2490.304105761197,Mary Akinyi,21,5,1433.6958942388028,2025-06-14
2025-06-14 21:31:23.631570,Bombay Sapphire,Gin,1,3239,2002.692276399336,3239,2002.692276399336,Sarah Njeri,21,5,1236.307723600664,2025-06-14
2025-06-14 21:31:23.631570,Smirnoff,Vodka,2,3556,2226.0727061810453,7112,4452.145412362091,Grace Muthoni,21,5,2659.8545876379094,2025-06-14
2025-06-14 21:31:23.631570,Chivas Regal,Whisky,1,4352,3043.6945472262796,4352,3043.6945472262796,Peter Omondi,21,5,1308.3054527737204,2025-06-14
